   15   12   27 Mg     26984340.701000        0.000000
   16   12   28 Mg     27983876.668000        0.000000
   17   12   29 Mg     28988554.702000        0.000000
   18   12   30 Mg     29990464.530000        0.000000
   19   12   31 Mg     30996548.459000        0.000000
   20   12   32 Mg     31999145.889000        0.000000
   21   12   33 Mg     33005586.975000        0.000000
   22   12   34 Mg     34009072.440000        0.000000
   10   13   23 Al     23007264.861000        0.000000
   11   13   24 Al     23999940.887000        0.000000
   12   13   25 Al     24990428.531000        0.000000
   13   13   26 Al     25986891.675000        0.000000
   14   13   27 Al     26981538.407000      100.000000
   15   13   28 Al     27981910.150000        0.000000
   16   13   29 Al     28980444.814000        0.000000
   17   13   30 Al     29982960.265000        0.000000
   18   13   31 Al     30983945.984000        0.000000
   19   13   32 Al     31988124.379000        0.000000
   20   13   33 Al     32990869.587000        0.000000
   21   13   34 Al     33996927.255000        0.000000
   22   13   35 Al     34999937.650000        0.000000
   23   13   36 Al     36006351.501000        0.000000
   24   13   37 Al     37010310.000000        0.000000
   10   14   24 Si     24011545.688000        0.000000
   11   14   25 Si     25004106.601000        0.000000
   12   14   26 Si     25992329.896000        0.000000
   13   14   27 Si     26986704.124000        0.000000
   14   14   28 Si     27976926.494000       92.230000
   15   14   29 Si     28976494.680000        4.670000
   16   14   30 Si     29973770.179000        3.100000
   17   14   31 Si     30975363.236000        0.000000
   18   14   32 Si     31974148.090000        0.000000
   19   14   33 Si     32978000.516000        0.000000
   20   14   34 Si     33978575.741000        0.000000
   21   14   35 Si     34984584.154000        0.000000
   22   14   36 Si     35986687.363000        0.000000
   23   14   37 Si     36992995.990000        0.000000
   24   14   38 Si     37995980.000000        0.000000
   12   15   27 P      26999191.686000        0.000000
   13   15   28 P      27992312.291000        0.000000
   14   15   29 P      28981801.337000        0.000000
   15   15   30 P      29978313.768000        0.000000
   16   15   31 P      30973761.487000      100.000000
   17   15   32 P      31973907.138000        0.000000
   18   15   33 P      32971725.322000        0.000000
   19   15   34 P      33973636.377000        0.000000
   20   15   35 P      34973314.245000        0.000000
   21   15   36 P      35978259.820000        0.000000
   22   15   37 P      36979608.334000        0.000000
   23   15   38 P      37984470.000000        0.000000
   24   15   39 P      38986420.000000        0.000000
   25   15   40 P      39991050.000000        0.000000
   26   15   41 P      40994800.000000        0.000000
   12   16   28 S      28004372.622000        0.000000
